nLocation = 5;
AreaWidth = 10;
Horizen = 1440;
MaxAirTime = 90;
ChargingTime = 5;
VehicleLocation =  [1 2 3 4 5 0 0 0 0 0];
InitialMissionCompleteTime =  [71 6 72 18 19];
Tasks =  {<"on" 1 1 8 6 0 71>
     <"charge" 1 100 8 6 74 79>
     <"on" 1 2 8 6 71 155>
     <"charge" 1 200 8 6 158 163>
     <"on" 1 3 8 6 155 239>
     <"charge" 1 300 8 6 242 247>
     <"on" 1 4 8 6 239 323>
     <"charge" 1 400 8 6 326 331>
     <"on" 1 5 8 6 323 407>
     <"charge" 1 500 8 6 410 415>
     <"on" 1 6 8 6 407 491>
     <"charge" 1 600 8 6 494 499>
     <"on" 1 7 8 6 491 575>
     <"charge" 1 700 8 6 578 583>
     <"on" 1 8 8 6 575 659>
     <"charge" 1 800 8 6 662 667>
     <"on" 1 9 8 6 659 743>
     <"charge" 1 900 8 6 746 751>
     <"on" 1 10 8 6 743 827>
     <"charge" 1 1000 8 6 830 835>
     <"on" 1 11 8 6 827 911>
     <"charge" 1 1100 8 6 914 919>
     <"on" 1 12 8 6 911 995>
     <"charge" 1 1200 8 6 998 1003>
     <"on" 1 13 8 6 995 1079>
     <"charge" 1 1300 8 6 1082 1087>
     <"on" 1 14 8 6 1079 1163>
     <"charge" 1 1400 8 6 1166 1171>
     <"on" 1 15 8 6 1163 1247>
     <"charge" 1 1500 8 6 1250 1255>
     <"on" 1 16 8 6 1247 1331>
     <"charge" 1 1600 8 6 1334 1339>
     <"on" 1 17 8 6 1331 1415>
     <"charge" 1 1700 8 6 1418 1423>
     <"on" 1 18 8 6 1415 1440>
     <"on" 2 1 6 7 0 6>
     <"charge" 2 100 6 7 8 13>
     <"on" 2 2 6 7 6 92>
     <"charge" 2 200 6 7 94 99>
     <"on" 2 3 6 7 92 178>
     <"charge" 2 300 6 7 180 185>
     <"on" 2 4 6 7 178 264>
     <"charge" 2 400 6 7 266 271>
     <"on" 2 5 6 7 264 350>
     <"charge" 2 500 6 7 352 357>
     <"on" 2 6 6 7 350 436>
     <"charge" 2 600 6 7 438 443>
     <"on" 2 7 6 7 436 522>
     <"charge" 2 700 6 7 524 529>
     <"on" 2 8 6 7 522 608>
     <"charge" 2 800 6 7 610 615>
     <"on" 2 9 6 7 608 694>
     <"charge" 2 900 6 7 696 701>
     <"on" 2 10 6 7 694 780>
     <"charge" 2 1000 6 7 782 787>
     <"on" 2 11 6 7 780 866>
     <"charge" 2 1100 6 7 868 873>
     <"on" 2 12 6 7 866 952>
     <"charge" 2 1200 6 7 954 959>
     <"on" 2 13 6 7 952 1038>
     <"charge" 2 1300 6 7 1040 1045>
     <"on" 2 14 6 7 1038 1124>
     <"charge" 2 1400 6 7 1126 1131>
     <"on" 2 15 6 7 1124 1210>
     <"charge" 2 1500 6 7 1212 1217>
     <"on" 2 16 6 7 1210 1296>
     <"charge" 2 1600 6 7 1298 1303>
     <"on" 2 17 6 7 1296 1382>
     <"charge" 2 1700 6 7 1384 1389>
     <"on" 2 18 6 7 1382 1440>
     <"on" 3 1 0 8 0 72>
     <"charge" 3 100 0 8 78 83>
     <"on" 3 2 0 8 72 150>
     <"charge" 3 200 0 8 156 161>
     <"on" 3 3 0 8 150 228>
     <"charge" 3 300 0 8 234 239>
     <"on" 3 4 0 8 228 306>
     <"charge" 3 400 0 8 312 317>
     <"on" 3 5 0 8 306 384>
     <"charge" 3 500 0 8 390 395>
     <"on" 3 6 0 8 384 462>
     <"charge" 3 600 0 8 468 473>
     <"on" 3 7 0 8 462 540>
     <"charge" 3 700 0 8 546 551>
     <"on" 3 8 0 8 540 618>
     <"charge" 3 800 0 8 624 629>
     <"on" 3 9 0 8 618 696>
     <"charge" 3 900 0 8 702 707>
     <"on" 3 10 0 8 696 774>
     <"charge" 3 1000 0 8 780 785>
     <"on" 3 11 0 8 774 852>
     <"charge" 3 1100 0 8 858 863>
     <"on" 3 12 0 8 852 930>
     <"charge" 3 1200 0 8 936 941>
     <"on" 3 13 0 8 930 1008>
     <"charge" 3 1300 0 8 1014 1019>
     <"on" 3 14 0 8 1008 1086>
     <"charge" 3 1400 0 8 1092 1097>
     <"on" 3 15 0 8 1086 1164>
     <"charge" 3 1500 0 8 1170 1175>
     <"on" 3 16 0 8 1164 1242>
     <"charge" 3 1600 0 8 1248 1253>
     <"on" 3 17 0 8 1242 1320>
     <"charge" 3 1700 0 8 1326 1331>
     <"on" 3 18 0 8 1320 1398>
     <"charge" 3 1800 0 8 1404 1409>
     <"on" 3 19 0 8 1398 1440>
     <"on" 4 1 8 5 0 18>
     <"charge" 4 100 8 5 21 26>
     <"on" 4 2 8 5 18 102>
     <"charge" 4 200 8 5 105 110>
     <"on" 4 3 8 5 102 186>
     <"charge" 4 300 8 5 189 194>
     <"on" 4 4 8 5 186 270>
     <"charge" 4 400 8 5 273 278>
     <"on" 4 5 8 5 270 354>
     <"charge" 4 500 8 5 357 362>
     <"on" 4 6 8 5 354 438>
     <"charge" 4 600 8 5 441 446>
     <"on" 4 7 8 5 438 522>
     <"charge" 4 700 8 5 525 530>
     <"on" 4 8 8 5 522 606>
     <"charge" 4 800 8 5 609 614>
     <"on" 4 9 8 5 606 690>
     <"charge" 4 900 8 5 693 698>
     <"on" 4 10 8 5 690 774>
     <"charge" 4 1000 8 5 777 782>
     <"on" 4 11 8 5 774 858>
     <"charge" 4 1100 8 5 861 866>
     <"on" 4 12 8 5 858 942>
     <"charge" 4 1200 8 5 945 950>
     <"on" 4 13 8 5 942 1026>
     <"charge" 4 1300 8 5 1029 1034>
     <"on" 4 14 8 5 1026 1110>
     <"charge" 4 1400 8 5 1113 1118>
     <"on" 4 15 8 5 1110 1194>
     <"charge" 4 1500 8 5 1197 1202>
     <"on" 4 16 8 5 1194 1278>
     <"charge" 4 1600 8 5 1281 1286>
     <"on" 4 17 8 5 1278 1362>
     <"charge" 4 1700 8 5 1365 1370>
     <"on" 4 18 8 5 1362 1440>
     <"on" 5 1 4 5 0 19>
     <"charge" 5 100 4 5 20 25>
     <"on" 5 2 4 5 19 107>
     <"charge" 5 200 4 5 108 113>
     <"on" 5 3 4 5 107 195>
     <"charge" 5 300 4 5 196 201>
     <"on" 5 4 4 5 195 283>
     <"charge" 5 400 4 5 284 289>
     <"on" 5 5 4 5 283 371>
     <"charge" 5 500 4 5 372 377>
     <"on" 5 6 4 5 371 459>
     <"charge" 5 600 4 5 460 465>
     <"on" 5 7 4 5 459 547>
     <"charge" 5 700 4 5 548 553>
     <"on" 5 8 4 5 547 635>
     <"charge" 5 800 4 5 636 641>
     <"on" 5 9 4 5 635 723>
     <"charge" 5 900 4 5 724 729>
     <"on" 5 10 4 5 723 811>
     <"charge" 5 1000 4 5 812 817>
     <"on" 5 11 4 5 811 899>
     <"charge" 5 1100 4 5 900 905>
