nLocation = 5;
AreaWidth = 10;
Horizen = 1440;
MaxAirTime = 120;
ChargingTime = 5;
VehicleLocation =  [1 2 3 4 5 0 0 0 0 0];
InitialMissionCompleteTime =  [22 104 85 8 7];
Tasks =  {<"on" 1 1 3 3 0 22>
     <"charge" 1 100 3 3 25 30>
     <"on" 1 2 3 3 22 136>
     <"charge" 1 200 3 3 139 144>
     <"on" 1 3 3 3 136 250>
     <"charge" 1 300 3 3 253 258>
     <"on" 1 4 3 3 250 364>
     <"charge" 1 400 3 3 367 372>
     <"on" 1 5 3 3 364 478>
     <"charge" 1 500 3 3 481 486>
     <"on" 1 6 3 3 478 592>
     <"charge" 1 600 3 3 595 600>
     <"on" 1 7 3 3 592 706>
     <"charge" 1 700 3 3 709 714>
     <"on" 1 8 3 3 706 820>
     <"charge" 1 800 3 3 823 828>
     <"on" 1 9 3 3 820 934>
     <"charge" 1 900 3 3 937 942>
     <"on" 1 10 3 3 934 1048>
     <"charge" 1 1000 3 3 1051 1056>
     <"on" 1 11 3 3 1048 1162>
     <"charge" 1 1100 3 3 1165 1170>
     <"on" 1 12 3 3 1162 1276>
     <"charge" 1 1200 3 3 1279 1284>
     <"on" 1 13 3 3 1276 1390>
     <"charge" 1 1300 3 3 1393 1398>
     <"on" 1 14 3 3 1390 1440>
     <"on" 2 1 4 4 0 104>
     <"charge" 2 100 4 4 105 110>
     <"on" 2 2 4 4 104 222>
     <"charge" 2 200 4 4 223 228>
     <"on" 2 3 4 4 222 340>
     <"charge" 2 300 4 4 341 346>
     <"on" 2 4 4 4 340 458>
     <"charge" 2 400 4 4 459 464>
     <"on" 2 5 4 4 458 576>
     <"charge" 2 500 4 4 577 582>
     <"on" 2 6 4 4 576 694>
     <"charge" 2 600 4 4 695 700>
     <"on" 2 7 4 4 694 812>
     <"charge" 2 700 4 4 813 818>
     <"on" 2 8 4 4 812 930>
     <"charge" 2 800 4 4 931 936>
     <"on" 2 9 4 4 930 1048>
     <"charge" 2 900 4 4 1049 1054>
     <"on" 2 10 4 4 1048 1166>
     <"charge" 2 1000 4 4 1167 1172>
     <"on" 2 11 4 4 1166 1284>
     <"charge" 2 1100 4 4 1285 1290>
     <"on" 2 12 4 4 1284 1402>
     <"charge" 2 1200 4 4 1403 1408>
     <"on" 2 13 4 4 1402 1440>
     <"on" 3 1 4 8 0 85>
     <"charge" 3 100 4 8 88 93>
     <"on" 3 2 4 8 85 199>
     <"charge" 3 200 4 8 202 207>
     <"on" 3 3 4 8 199 313>
     <"charge" 3 300 4 8 316 321>
     <"on" 3 4 4 8 313 427>
     <"charge" 3 400 4 8 430 435>
     <"on" 3 5 4 8 427 541>
     <"charge" 3 500 4 8 544 549>
     <"on" 3 6 4 8 541 655>
     <"charge" 3 600 4 8 658 663>
     <"on" 3 7 4 8 655 769>
     <"charge" 3 700 4 8 772 777>
     <"on" 3 8 4 8 769 883>
     <"charge" 3 800 4 8 886 891>
     <"on" 3 9 4 8 883 997>
     <"charge" 3 900 4 8 1000 1005>
     <"on" 3 10 4 8 997 1111>
     <"charge" 3 1000 4 8 1114 1119>
     <"on" 3 11 4 8 1111 1225>
     <"charge" 3 1100 4 8 1228 1233>
     <"on" 3 12 4 8 1225 1339>
     <"charge" 3 1200 4 8 1342 1347>
     <"on" 3 13 4 8 1339 1440>
     <"on" 4 1 3 5 0 8>
     <"charge" 4 100 3 5 10 15>
     <"on" 4 2 3 5 8 124>
     <"charge" 4 200 3 5 126 131>
     <"on" 4 3 3 5 124 240>
     <"charge" 4 300 3 5 242 247>
     <"on" 4 4 3 5 240 356>
     <"charge" 4 400 3 5 358 363>
