
<<< setup

 ! --------------------------------------------------- CP Optimizer 20.1.0.0 --
 ! Minimization problem - 838 variables, 1,184 constraints
 ! Presolve      : 349 extractables eliminated
 ! TimeLimit            = 30
 ! LogVerbosity         = Terse
 ! OptimalityTolerance  = 1e-07
 ! RelativeOptimalityTolerance = 1e-07
 ! SearchConfiguration  = 36,864
 ! Initial process time : 0.03s (0.03s extraction + 0.01s propagation)
 !  . Log search space  : 243.2 (before), 243.2 (after)
 !  . Memory usage      : 4.1 MB (before), 4.1 MB (after)
 ! Using parallel search with 16 workers.
 ! ----------------------------------------------------------------------------
 !          Best Branches  Non-fixed    W       Branch decision
                        0        640                 -
 + New bound is 0
 ! Using temporal relaxation.
 *             4      213  0.18s        1      (gap is 100.0%)
 ! Using failure-directed search.
               4      675          6    1         1 >= vUsed(5)
 + New bound is 1 (gap is 75.00%)
               4      875          6    1         1 >= vUsed(6)
 + New bound is 2 (gap is 50.00%)
               4    1,151        436    1   F         !presenceOf(itvJ2V#71#5)
 + New bound is 3 (gap is 25.00%)
               4   34,498        277    1   F         !presenceOf(itvJ2V#73#1)
 + New bound is 4 (gap is 0.00%)
 ! ----------------------------------------------------------------------------
 ! Search completed, 1 solution found.
 ! Best objective         : 4 (optimal - effective tol. is 0)
 ! Best bound             : 4
 ! ----------------------------------------------------------------------------
 ! Number of branches     : 262,893
 ! Number of fails        : 153,713
 ! Total memory usage     : 69.5 MB (69.1 MB CP Optimizer + 0.4 MB Concert)
 ! Time spent in solve    : 5.38s (5.35s engine + 0.03s extraction)
 ! Search speed (br. / s) : 49,148.1
 ! ----------------------------------------------------------------------------
v	task	loc	s	e
1	mission	1	0	140
8	mission	1	140	266
3	mission	1	266	392
8	mission	1	392	518
3	mission	1	518	644
6	mission	1	644	770
7	mission	1	770	896
2	mission	1	896	1022
3	mission	1	1022	1148
5	mission	1	1148	1274
1	mission	1	1274	1400
4	mission	1	1400	1440
2	mission	2	0	83
5	mission	2	83	231
2	mission	2	231	379
6	mission	2	379	527
7	mission	2	527	675
8	mission	2	675	823
1	mission	2	823	971
7	mission	2	971	1119
2	mission	2	1119	1267
3	mission	2	1267	1415
5	mission	2	1415	1440
3	mission	3	0	115
7	mission	3	115	225
4	mission	3	225	335
7	mission	3	335	445
2	mission	3	445	555
1	mission	3	555	665
2	mission	3	665	775
4	mission	3	775	885
8	mission	3	885	995
4	mission	3	995	1105
6	mission	3	1105	1215
7	mission	3	1215	1325
6	mission	3	1325	1435
4	mission	4	0	72
6	mission	4	72	212
1	mission	4	212	352
5	mission	4	352	492
4	mission	4	492	632
5	mission	4	632	772
3	mission	4	772	912
5	mission	4	912	1052
1	mission	4	1052	1192
4	mission	4	1192	1332
8	mission	4	1332	1440
1	charge	0	167	172
8	charge	0	293	298
3	charge	0	419	424
8	charge	0	545	550
3	charge	0	671	676
6	charge	0	797	802
7	charge	0	923	928
2	charge	0	1049	1054
3	charge	0	1175	1180
5	charge	0	1301	1306
1	charge	0	1427	1432
2	charge	0	99	104
5	charge	0	247	252
2	charge	0	395	400
6	charge	0	543	548
7	charge	0	691	696
8	charge	0	839	844
1	charge	0	987	992
7	charge	0	1135	1140
2	charge	0	1283	1288
3	charge	0	1431	1436
3	charge	0	150	155
7	charge	0	260	265
4	charge	0	370	375
7	charge	0	480	485
2	charge	0	590	595
1	charge	0	700	705
2	charge	0	810	815
4	charge	0	920	925
8	charge	0	1030	1035
4	charge	0	1140	1145
6	charge	0	1250	1255
7	charge	0	1360	1365
4	charge	0	92	97
6	charge	0	232	237
1	charge	0	372	377
5	charge	0	512	517
4	charge	0	652	657
5	charge	0	792	797
3	charge	0	932	937
5	charge	0	1072	1077
1	charge	0	1212	1217
4	charge	0	1352	1357
 ! --------------------------------------------------- CP Optimizer 20.1.0.0 --
